appid,name,playtime_forever,playtime_windows_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,playtime_disconnected,has_community_visible_stats,playtime_2weeks,has_leaderboards
20,Team Fortress Classic,0,0,0,0,0,0,,,
50,Half-Life: Opposing Force,0,0,0,0,0,0,,,
70,Half-Life,0,0,0,0,0,0,,,
130,Half-Life: Blue Shift,0,0,0,0,0,0,,,
220,Half-Life 2,0,0,0,0,0,0,True,,
340,Half-Life 2: Lost Coast,0,0,0,0,0,0,,,
280,Half-Life: Source,0,0,0,0,0,0,,,
360,Half-Life Deathmatch: Source,0,0,0,0,0,0,,,
320,Half-Life 2: Deathmatch,0,0,0,0,0,0,,,
380,Half-Life 2: Episode One,0,0,0,0,0,0,True,,
400,Portal,908,0,336,336,1730596805,379,True,336.0,
420,Half-Life 2: Episode Two,0,0,0,0,0,0,True,,
35700,Trine,5,0,0,0,1619829216,0,True,,
6060,"Star Wars: Battlefront 2 (Classic, 2005)",8158,432,70,69,1718217601,0,,,
6000,STAR WARS™ Republic Commando,3891,76,643,643,1724805238,261,,,
32370,STAR WARS™ Knights of the Old Republic™,7257,120,0,0,1612572392,0,,,
35000,Mini Ninjas,0,0,0,0,0,0,,,
32390,STAR WARS™ Jedi Knight: Mysteries of the Sith™,0,0,0,0,0,0,,,
6030,STAR WARS™ Jedi Knight II: Jedi Outcast™,855,0,0,0,1484972138,0,,,
6020,STAR WARS™ Jedi Knight: Jedi Academy™,833,0,0,0,1413245690,0,,,
32400,STAR WARS™: Dark Forces,267,1,0,0,1724183951,0,,,
32380,STAR WARS™ Jedi Knight: Dark Forces II,104,0,0,0,1498103902,0,,,
40700,Machinarium,99,0,0,0,1338274800,0,True,,
32430,STAR WARS™: The Force Unleashed™ Ultimate Sith Edition,161,161,0,0,1665013979,0,,,
32440,LEGO® Star Wars™: The Complete Saga,5524,576,0,0,1609656933,0,,,
32470,STAR WARS™ Empire at War: Gold Pack,103,0,0,0,1527995290,0,,,
32500,STAR WARS™: The Force Unleashed™ II,4521,0,0,0,1538439622,0,,,
21130,LEGO® Harry Potter: Years 1-4,85,85,0,0,1676158201,0,,,
22610,Alien Breed: Impact,0,0,0,0,0,0,True,,
22650,Alien Breed 2: Assault,0,0,0,0,0,0,True,,
22670,Alien Breed 3: Descent,0,0,0,0,0,0,True,,
50300,Spec Ops: The Line,0,0,0,0,0,0,True,,
42910,Magicka,6808,148,0,0,1608768949,0,True,,True
55100,Homefront,0,0,0,0,0,0,True,,
32510,LEGO® Star Wars™ III: The Clone Wars™,1299,1299,0,0,1633152228,0,,,
620,Portal 2,2307,696,244,244,1728325615,0,True,,True
107300,Breath of Death VII ,108,0,0,0,1325145600,0,,,
107310,Cthulhu Saves the World ,2450,0,0,0,1558817764,0,,,
70600,Worms Ultimate Mayhem,0,0,0,0,0,0,True,,True
3830,Psychonauts,334,264,0,0,1619416137,0,True,,
65800,Dungeon Defenders,3454,3162,291,291,1719077021,36,True,,
70620,Worms Crazy Golf,0,0,0,0,0,0,True,,
70660,Worms Pinball,0,0,0,0,0,0,,,
70650,Worms Blast,0,0,0,0,0,0,,,
200900,Cave Story+,2059,679,0,0,1615618055,0,True,,
202200,Galactic Civilizations II: Ultimate Edition,0,0,0,0,0,0,True,,
98800,Dungeons of Dredmor,1684,0,0,0,1340262000,0,True,,True
67370,The Darkness II,0,0,0,0,0,0,True,,
